,순위,곡ID,곡명,가수,앨범,좋아요,가사
47,48,37100276,I Love You,안세하,I Love You,"18,815",I love you 사랑한다는 이 말 밖에는 해줄 말이 없네요 I love you 의미 없는 말이 되었지만 사랑해요 이제 와서 무슨 소용 있겠어요 다신 볼 수 없는 이별인데 돌이킬 수 없는 걸 잘 알고 있지만 어떻게든 그댈 잡아 두고 싶은걸 Ooh ooh ooh 이 세상 아니라도 언젠가 우리 다시 만날 텐데 눈물 한 방울도 보여선 안되겠죠 사랑에 빠지게 만들었던 미소로 날 떠나요 그 미소 하나로 언제라도 그대를 찾아낼 수 있게 I love you 기억하나요 처음 그대에게 느낀 그 떨림 I love you 오랜 후에서야 내게 해준 그대 그 한마디 우리 사랑 안 될 거라 생각했죠 너무나도 아름다웠기에 돌아서려 했었던 내 앞의 그대는 꿈만 같은 사랑으로 다가왔었죠 Ooh ooh ooh 이 세상 아니라도 언젠가 우리 다시 만날 텐데 눈물 한 방울도 보여선 안되겠죠 사랑에 빠지게 만들었던 미소로 날 떠나요 그 미소 하나로 언제라도 그대를 찾아낼 수 있게 이 세상 아니라도 언젠가 우리 다시 만날 텐데 눈물 한 방울도 보여선 안되겠죠 사랑에 빠지게 만들었던 미소로 날 떠나요 그 미소 하나로 언제라도 그대를 찾아낼 수 있게 언제라도 그대를 찾아낼 수 있게
48,49,37323948,사랑하게 해주라,DAY6 (데이식스),Fourever,"11,315",매번 사랑에 치이고 아파하고 그런 널 보는 나도 매번 안타까워하고 아쉬워 나라면 더 좋을 텐데 망설임 가득한 눈빛 잠시 멈추길 제대로 날 바라봐 줘 Let me give you all my love 너를 사랑하게 해주라 내가 갖고 있는 전불 다 줄게 넌 날 마음에 들이기만 해 Let me tell you all my love 제발 고갤 끄덕여주라 네가 여태 알던 사랑이 아닌 마냥 따스한 그런 걸 줄 수 있어 난 가만히 네 곁을 지킨 난 항상 여기 있을 거란 걸 알아줘 Let me give you all my love 너를 사랑하게 해주라 내가 갖고 있는 전불 다 줄게 넌 날 마음에 들이기만 해 지금의 너를 위해 키워왔어 나의 마음을 너에게 쏟기 위해 Let me give you all my love 너를 사랑하게 해주라 내가 갖고 있는 전불 다 줄게 넌 날 마음에 들이기만 해 Let me tell you all my love 제발 고갤 끄덕여주라 네가 여태 알던 사랑이 아닌 마냥 따스한 그런 걸 줄 수 있어 난
49,50,37323946,널 제외한 나의 뇌 (Get The Hell Out),DAY6 (데이식스),Fourever,"11,309",너를 떠올리는 것 찌를 듯이 아픈 것 잊혀지지 않는 건 내겐 저주 같은 것 하루만 잠시만 지울 수 있다면 내 세상은 더 아름다울 것 같은데 너와 함께했단 것 쓰디쓴 기쁨인 것 계속 기억하는 건 미련한 미련인 것 하루만 잠시만 잔상이 걷힌다면 비로소 보일 텐데 How nice This world could be to me 널 제외한 나의 뇌 얼마나 살 만할까 Get the hell out! Get the hell out! 빨리 달려줘 시간아 저 멀리 점이 될 때까지 아직도 네가 난 너무 선명해 하루에 몇 번씩이나 나를 망쳐놓곤 해 How nice This world could be to me 널 제외한 나의 뇌 얼마나 살 만할까 내 안에서 썩 꺼져 줄래 뭐에 씌인 듯 살고 싶지 않아 How nice This world could be to me 널 제외한 나의 뇌 얼마나 살 만할까 Get the hell out! Get the hell out!
50,51,37075776,Closer Than This,지민,Closer Than This,"26,337","너도 기억하니? 우리 첫 만남이 수줍고 어색했던 그때 문득 돌아보니 어느새 여기까지 함께 걸어왔던 거야 때론 넘어져 울기도 하고 서로의 어깰 토닥여 주고 눈물로 여울져 바라보며 서로의 이름을 불러줬지 6월 13일 그날부터 오늘의 지금까지 너와 난 Even if you're not here 같은 자리에 always Don’t have to worry now 잠시 이 손을 놓지만, 작은 쉼표일 뿐인걸 Just call my name out loud 다시 보랏빛 물들 그날 ‘Cause anytime you want me (I'll be) Right here where you call me (I'll be) I could never let you go Never let you go Whenever you need me (I'll be) If you believe me (I'll be) I'll never let you go Never let you go 비가 내리면 비 맞으며 노래하던 그때를 기억할게 눈이 내리면 눈 맞으며 웃어주던 널 추억하며 다시 만날 봄날에 못다 한 얘길 전할게 My love, my babe 영원히 네 곁에 일곱은 하나 right 두근거려 지금도 하나의 마음 잠깐 눈을 감아 눈앞에 서 있을게 oh Don’t have to worry now 잠시 이 손을 놓지만, 작은 쉼표일 뿐인걸 Just call my name out loud 다시 보랏빛 물들 그날 ‘Cause anytime you want me (I'll be) Right here where you call me (I'll be) I could never let you go Never let you go Whenever you need me (I'll be) If you believe me (I'll be) I'll never let you go Never let you go 하나 된 맘으로 두드리면 그 웃음으로 문을 열어줘 멈췄던 시간이 돌아오면 Baby I’ll come back to you 다 함께 부르자 이 노래 다시 하나 될 그날에 I could never let you go Never let you go 더 크게 부르자 이 노래 다시 하나 될 수 있게 I'll never let you go Never let you go 다 함께 부르자 이 노래 다시 하나 될 그날에 I could never let you go Never let you go 더 크게 부르자 이 노래 다시 하나 될 수 있게 I'll never let you go Never let you go"
51,52,37323947,나만 슬픈 엔딩,DAY6 (데이식스),Fourever,"11,869",마법이 풀린 순간 내뱉어 버린 “Where’s the love?” 이 사랑의 소비기한은 끝나 있었어 나를 볼 때면 항상 해맑게 웃어주던 예쁜 입술로 “너랑 있는 게 이젠 도무지 행복하지가 않다.”고 말을 해 사랑은 한마디에 흠집이 나더니 걷잡을 수 없이 부서져 간다 이 사랑 아무리 아무리 고민해 노력해 채워도 계속 줄어들기만 해 다 새어 나가기만 해 내가 바랬던 행복이 네겐 불행이라면 Let’s end it all Let’s kill it all I’ll take it all 나만 슬픈 엔딩 아무리 아무리 싸우며 쌓으려 해 봐도 계속 금이 가기만 해 무너져 내리기만 해 내가 선택할 불행이 네 행복이 된다면 Let’s end it all Let’s kill it all I’ll take it all 너만 웃는 엔딩 싸늘한 네 표정에 내뱉어 버린 “Where’s the love?” 내 심장은 썩은 채 버려져 있었어 희망은 단 한줌의 재로 변하더니 걷잡을 수 없이 흩어져간다 이 사랑 아무리 아무리 고민해 노력해 채워도 계속 줄어들기만 해 다 새어 나가기만 해 내가 바랬던 행복이 네겐 불행이라면 Let’s end it all Let’s kill it all I’ll take it all 나만 슬픈 엔딩 암전이 되고 막이 내렸다 우리 이야기는 비극이 됐다 아무리 아무리 고민해 노력해 채워도 계속 줄어들기만 해 다 새어 나가기만 해 내가 바랬던 행복이 네겐 불행이라면 Let’s end it all Let’s kill it all I’ll take it all 나만 슬픈 엔딩 아무리 아무리 싸우며 쌓으려 해 봐도 계속 금이 가기만 해 무너져 내리기만 해 내가 선택할 불행이 네 행복이 된다면 Let’s end it all Let’s kill it all I’ll take it all 너만 웃는 엔딩
52,53,37323945,The Power of Love,DAY6 (데이식스),Fourever,"10,195",Isn’t it incredible 막막함을 지워주는 힘 잃어버린 길을 찾고 미래를 더 기대하게 해요 Isn’t it wonderful 없었던 용기를 주는 힘 두려움 제치고 달리게 만들죠 두 팔 벌린 채로 터덜터덜 힘없이 걷다가 넘어질 때마다 아파하다 흘러내리려는 눈물 가득 참고 있는 그대를 위해 You need the power of love Power of love 이거면 다 돼요 어둠을 밀어내는 빛처럼 황홀한 느낌 Oh! In the name of love Name of love 바꿔 줄 거라 믿어요 되찾을 거예요 잃었던 미소를 With the power of love Nothing is impossible 앞으로 내딛게 하는 힘 칙칙한 세상도 화려하게 되죠 눈부실 정도로 풀이 죽어 있는 어깨를 한 당장이라도 쓰러질 듯한 한껏 지친 표정을 지워내지 못하는 그대를 위해 You need the power of love Power of love 이거면 다 돼요 어둠을 밀어내는 빛처럼 황홀한 느낌 사랑이라는 이름의 그 힘을 느껴봐요 망설이지 말고 의심하지 말고 Don’t you worry try it now You need the power of love Power of love 이거면 다 돼요 어둠을 밀어내는 빛처럼 황홀한 느낌 Oh! In the name of love Name of love 바꿔 줄 거라 믿어요 되찾을 거예요 잃었던 미소를 With the power of love
53,54,37120976,DASH,NMIXX,Fe3O4: BREAK,"30,635","Dash, I wanna dash I wanna run it, run it Dash, I wanna dash I wanna run it, run it Dash, I wanna dash I wanna run it, run it Dash, um ah, run it You can call me reckless (zig zag) 겁 없이 던진 road map (zig zag) 날 막아선 barricade 사뿐히 즈려밟고 가 (We ride, we ride) 깜빡여 red light in the dark 이건 멈추란 경고일지 몰라 But I don’t wanna stop it 고민 따윈 crash it 떨리는 stars 난 달려가 저 멀리 펼쳐진 거친 road 가본 적 없는 길을 밟아 끌어올려 무한대로 발 닿는 곳이 runway 세상이 원한 길과 정반대로 ride We go zero to a hunnid I wanna dash, I wanna dash I wanna run it, run it Dash, I wanna dash I wanna run it, run it Dash, I wanna dash I wanna run it, run it Dash, um ah, run it I wanna run it, run it Dash, I wanna dash I wanna run it, run it Dash Woo Speed up to the max Woo 심장은 beating fast Woo 꿈꿔왔던 way Dash, I wanna dash I wanna run it, run it NMIXX! 언제나 옆자리는 비워놔 누구든 원한다면 올라타 지나간 자리에 남겨봐 skid mark 앞을 막는 건 모조리 다 bump 끌어올려 무한대로 발 닿는 그곳이 runway 시작해 Revolution for evolution We go zero to a hunnid I wanna dash, I wanna dash I wanna run it Dash, I wanna dash I wanna run it, run it Dash, I wanna dash I wanna run it, run it Dash, um ah, run it I wanna run it, run it Dash, I wanna dash I wanna run it, run it Dash 또 다시 한번 breathe Never stop, never stop, never stop 거친 박동은 danger But take it to the max Hold me tight, hold me tight, hold me tight 겁낼 것 없이 come in NMIXX, change up! 아득히 저 멀리 펼쳐지는 days Yeah we get it, we face it 이 항해의 키를 잡아 세상에 신호탄을 쏘아 올려 bang 뛰는 심장 소릴 따라오면 돼 멈추지는 마 망설이지 마 No matter Um, I just wanna continue my pace Dash, I wanna dash I wanna run it, run it Dash, I wanna dash I wanna run it, run it Dash, um ah, run it I wanna run some more (Yeah, make a dash, hey!) I wanna run it, run it Dash, I wanna dash I wanna run it, run it"
54,55,37241167,ONE SPARK,TWICE (트와이스),With YOU-th,"10,915","One spark baby Everybody wants that endless flame 식지 않을 Everlasting blast 영원한 걸 염원해 그래 영원히 We're sparkling beautifully 아름다울 걸 난 확신해 너의 숨결에 온기를 데워 계속 타오르는 Energy If I lose my rhythm Then your beat goes on and on Bring me the, bring me the spark in my veins Gimme the freedom the freedom to chase You know it's all ours 이대로 Make this moment last Cuz my heart is burning burning burning So good that it's hurting hurting hurting 눈부시게 아름답고 아프다 해도 It's our golden days Yeah my heart is burning burning burning Don't lose this spark baby 너와 누워본 Coral 빛 Heaven 붉은 두 뺨이 식지 않도록 더 세게 끌어안고 더 크게 불러줄게 너의 숨결에 온기를 데워 계속 타오르는 Energy If I lose my rhythm Then your beat goes on and on Bring me the, bring me the spark in my veins Gimme the freedom the freedom to chase You know it's all ours 이대로 Make this moment last Baby Cuz my heart is burning burning burning So good that it's hurting hurting hurting 눈부시게 아름답고 아프다 해도 It's our golden days Yeah my heart is burning burning burning Don't lose this spark baby Lighting it up 빛이 나는 시간을 건너 빛의 시간을 건너 Glowing so bright 찬란한 환상쯤에 이르러 This is the time of our lives Carved into our minds 저물지 않아 There ain't no sundown An everlasting spark to an everlasting fire Don't let this fire die Cuz my heart is burning burning burning So good that it's hurting hurting hurting 눈부시게 아름답고 아프다 해도 It's our golden days Yeah my heart is burning burning so burning Don't lose this spark baby Cuz my heart is burning burning burning"
55,56,37339503,Little Star,폴킴,Little Star (남은 인생 10년 X 폴킴),"5,686",눈을 감고 내가 하는 이야길 잘 들어봐 나의 얘기가 끝나기 전에 너는 꿈을 꿀 거야 little star tonight 밤새 내가 지켜줄 거야 처음 너를 만났을 땐 정말 눈이 부셨어 너의 미소를 처음 봤을 땐 세상을 다 가졌어 little star tonight 밤새 내가 지켜줄 거야 내 품에 안긴 채 곤히 잠든 널 보면 나는 잠시도 눈을 뗄 수 없어 이렇게 예쁜데 숨이 멎을 것 같아 내가 어떻게 잠들 수 있겠니 나의 사랑 나의 전부 하늘이 내린 천사 나의 두 눈을 나의 세상을 모두 훔쳐버렸어 little star tonight 밤새 내가 지켜줄 거야 내 품에 안긴 채 곤히 잠든 널 보면 나는 잠시도 눈을 뗄 수 없어 이렇게 예쁜데 숨이 멎을 것 같아 내가 어떻게 잠들 수 있겠니 눈을 감고 내가 하는 이야길 잘 들어봐 나의 얘기가 끝나기 전에 너는 꿈을 꿀 거야 little star tonight 밤새 내가 지켜줄 거야 내 사랑 tonight 밤새 내가 지켜줄 거야 평생 내가 지켜줄 거야
56,57,37177541,하루,에일리(Ailee),하루,"11,183",아직 그대는 오지 않고 또 하루가 지네요 마중 나간 나의 마음은 또 혼자 돌아와요 눈물에 번진 구름 같은 노을빛이 내리면 술 생각처럼 떠오르는 그대 얼굴 그대 향기 그댄 왜 나를 사랑했나요 이렇게 나를 울게 하나요 사랑이 슬픔인 걸 그때 알았더라면 그대를 그냥 지나쳤을까 안 보려고 눈 감아봐도 추억이 또 보여요 잃어버릴까 걱정하듯 처음부터 그 끝까지 귓볼을 입술로 간지르며 소리 내 웃다 그대가 울죠 그 눈빛이 서러워 매번 놀라 잠 깨면 베개를 적신 내 눈물만 그렇게 아름다운 사람을 사랑 안 하곤 버틸 힘없죠 천 번 그날이 와도 나는 같았을 테니 만난 걸 미안해하지 말아요 하루 또 하루 버텨내도 그댄 오지 않네요 울고 싶을 때 울어보면 그댄 내가 미울까요 그댄 왜 나를 사랑했나요 이렇게 나를 울게 하나요 사랑이 슬픔인 걸 그때 알았더라면 그대를 지나쳐 갔을까 그렇게 아름다운 사람을 사랑 안 하곤 버틸 힘없죠 천 번 그날이 와도 나는 같았을 테니 만난 걸 미안해하지 말아요 그리워 지친 날 달래듯 아침은 또 오네요 울 수 없으니 웃어야죠 밤새 잊은 것처럼
57,58,37069064,슬픈 초대장,순순희 (지환),슬픈 초대장,"6,298",내 야윈 손위로 온 초대장 위에 널 데려간다는 그와 네 이름 오래전 헤어지던 날 자꾸 내 눈앞에 스쳐 혼자서도 난 서글픈데 수화기 너머로 젖은 네 목소리 그때 왜 날 보내줬냐고 첨부터 널 사랑했다면 마지막까지 붙잡아야 했다고 그 많은 사연들 다 버려둔 채로 날 떠난 너였잖아 지금 그를 사랑한다면서 왜 이제 와서 또 바보처럼 흔들려 누굴 위해 돌아봐 아픈 가슴 추억으로 달래며 네 행복을 믿었는데 차라리 날 다 지워버려 넌 그를 택한 세상에 후회하지 않도록 남들처럼 나도 멀리서 나마 축하하고 싶으니 다 기억할 만큼 모질지 못한 너 날 두 번 울리잖아 되돌리긴 너무 늦었는데 왜 이제 와서 또 바보처럼 흔들려 누굴 위해 돌아봐 아픈 가슴 추억으로 달래며 네 행복을 믿었는데 차라리 날 다 지워버려 넌 그를 택한 세상에 후회하지 않도록 남들처럼 나도 멀리서 나마 축하하고 싶으니 부디 가서 영원해 줘
58,59,37324218,봄이 왔나 봐 (Prod. 양다일),김종국,봄이 왔나 봐 (Prod. 양다일),"3,627",오랜 기다림 홀로 지내온 나날들이 멈춘 것 같이 그렇게 자릴 맴돌았어 한참 동안을 외면해왔던 네 소식도 괜히 궁금해 이제서 말을 꺼내는 게 이쯤 되니 무뎌진 게 웃음만 나와 가끔 너만 생각하면 풀리지 않던 그 감정들이 밤이 오면 먹먹해져 지샌 날들이 변해가던 시간만큼 궁금해졌어 오늘따라 아련한 게 봄이 왔나 봐 다시 밝고 화사해진 도시를 채우는 온기가 나를 감싸줘 괜시리 위로가 되는 걸 코끝 가득히 스며드는 바람도 이해하고 있어 나른하게 불어주네 가끔 너도 생각하니 풀리질 않던 우리 만남이 아프게 했지 미안해 오래 지나서 달라졌을 네 모습만 궁금해졌어 오늘따라 아련하게 봄이 왔나 봐 나 이제 모든 게 추억이 됐어 이젠 잘 지내 줘 부러워질 만큼 우리 한동안은 그립겠지 돌아갈 수 없는 마지막이 오랜 날을 미워하고 지샌 밤들이 행복했으면 좋겠어 사랑한 만큼 오늘따라 유난인 게 봄이 왔나 봐 다시 오늘따라 아련한 게 봄이 왔나 봐
59,60,37136368,All Night (Feat. Saweetie),IVE (아이브),All Night,"21,805","We always dreamed about this better life, this better life We always felt it coming all along, yeah, all along We've got the keys to open paradise, yeah, paradise Now let's go walking hand in hand Come on, baby, we can hit the lights, make the wrongs turn right We can smash the clock, make the pop go rock With the love this deep, we don't need no sleep And it feels like We could do this all night We could do this all night Yeah, everything is alright We've got the keys to open paradise, yeah, paradise It feels like We could do this all night We could do this all night We could do this all night I been dreamin’ ‘bout this memory Feels like we could do this for centuries We’re in harmony Follow the melody Got me fallin’ very deep With you I feel clarity Got me speedin’ through the city like “woo” You shot yo’ shot and it sounded like “coo” Lookin’ at the stars what a nice view Where the gummies at tryna catch a vibe with you Aye coming through the spot with my icy girls Red lips Birkin bag in the newest Manolos All my baddies get the bag I ain’t with dodos Baddest online but I look better than my photos Uh put yo’ lighters up throwing dirt on my name make ‘em bite the dust Yeah it’s Diamonte with the diamond cuts We can go all night we ain’t gotta rush aye We can hit the lights, make the wrongs turn right We can smash the clock, make the pop go rock With the love this deep, we don't need no sleep And it feels like We could do this all night We could do this all night Yeah, everything is alright We've got the keys to open paradise, yeah, paradise It feels like We could do this all night We could do this all night Come on, baby, we can hit the lights, make the wrongs turn right We can smash the clock, make the pop go rock With the love this deep, we don't need no sleep And it feels like We could do this all night We could do this all night Yeah, everything is alright We've got the keys to open paradise, yeah, paradise It feels like We could do this all night"
60,61,37280085,속는 셈 치고 다시 만나자,케이시 (Kassy),Full Bloom,"5,125",우리 참 많이도 다퉜었지 못난 내 고집에 힘들었었지 그땐 철부지 어린애처럼 그렇게 사랑을 받고 싶었어 들려오는 소식에 아직 혼자라는데 너의 번호를 누르고 다시 사랑을 하자 너와 헤어져보니 별다른 거 하나 없더라 영화를 봐도 혼자 밥을 먹어도 허전하고 재미 하나 없더라 우리 다시 만나면 한 번 더 사랑하면 그때는 헤어지지 말자 그러니까 다시 한번만 우리 속는 셈 치고 다시 만나자 아직 널 많이 사랑하나 봐 눈뜨면 내 옆에 있을 것 같아 그냥 아무 일 없던 것처럼 계속 날 사랑해 주면 안 될까 요즘 너는 어떠니 많이 보고 싶었어 너의 집 앞을 서성여 다시 사랑을 하자 너와 헤어져보니 별다른 거 하나 없더라 영화를 봐도 혼자 밥을 먹어도 허전하고 재미 하나 없더라 우리 다시 만나면 한 번 더 사랑하면 그때는 헤어지지 말자 그러니까 다시 한번만 우리 속는 셈 치고 다시 만나자 우리 사랑을 하자 제발 그렇게 하자 마지막처럼 사랑하자 그러니까 다시 한번만 우리 속는 셈 치고 다시 만나자 내가 더 행복하게 해줄게
61,62,37160786,널 미워하기로 했어,이예준,널 미워하기로 했어,"10,077",바쁘면 잊혀진다 더니 할 일이 끝나면 더 보고 싶어져 너는 다를 거라 믿었던 내 마음이 이렇게 날 괴롭히고 있어 사랑으로 빼곡했던 시간들이 외로움으로 변해가고 있어 설렘이 아픔으로 바뀌었다는 건 밀어낸 이별이 진짜 온 것 같아 널 기다리고 힘들어해 또 기대하고 그리워해 사랑한 마음이 없어지질 않아 널 미워하기로 했어 그래야 내가 살 수 있을 것 같아 이 방법 밖에 난 없을 것 같아 세상에서 가장 다정했던 너를 잊는 과정은 생각보다 힘들었어 너보다 행복하게 지내고 싶은데 자꾸만 눈물이 나는지 모르겠어 널 기다리고 힘들어해 또 기대하고 그리워해 사랑한 마음이 없어지질 않아 널 미워하기로 했어 그래야 내가 살 수 있을 것 같아 이 방법 밖에 난 없을 것 같아 시간이 지나면 사랑도 깊어질 줄 알았고 함께면 행복도 커질 줄 알았어 이것조차도 내 욕심이었을까 바보 같은 내가 너무 싫어 더 많이 사랑해서 일까 더 많이 아파해서 일까 사랑한 기억이 없어지질 않아 널 미워하기로 했어 그래야 내가 살 수 있을 것 같아 이 방법 밖에 난 없을 것 같아
62,63,37297124,Wish You Hell,웬디 (WENDY),Wish You Hell - The 2nd Mini Album,"13,186","착한 애는 잊어요 노력은 해봤죠 처음엔 제법이었죠 이젠 그만둘래요 Da-la-la-la 머리를 빗어주며 순하다고 하죠 다들 예뻐하죠 말 잘 듣는 그 아일 사랑하죠 Show는 끝났어 사랑스럽던 그 애는 내가 걷어차버렸어 다신 못 봐 인형에 갇혀 웃는 얼굴만 하던 너완 끝났으니 다시는 돌아오지 마 I wish you hell I don’t wish you well I wish you hell Yeah I wish you hell I wish you hell I found myself I wish you hell Yeah I wish you hell 빨간 약을 택했죠 뭐가 뭔지 짐작조차 안되지만 후회라곤 없어요 Da-la-la-la 삐뚤어져 버리죠 특별하고 싶어 강해지고 싶어 진짜 원한 모습을 택한 거죠 난생처음으로 깨달아 나를 난 사실 어디로 튈지 모르는 문제아 좀 부서지고 뭐 약간 탈이 나도 지금 편한 얼굴이 더 맘에 드는 걸 I wish you hell I don’t wish you well I wish you hell Yeah I wish you hell I wish you hell I found myself I wish you hell Yeah I wish you hell 사람들이 화내지 좀 말래 But I think it’s kinda fun 내가 원한 대로 할 수 있어 뭐든 말야 I found myself, number 1 I wish you hell I don’t wish you well I wish you hell Yeah I wish you hell I wish you hell (H E L L) I found myself I wish you hell Yeah I wish you hell"
63,64,37292485,EENIE MEENIE (Feat. 홍중(ATEEZ)),청하,EENIE MEENIE,"5,385","Got tips for you 모르겠니 what to choose? 아무거나 골라도 돼 끌린 대로 make your move I realized We sucked up all the trouble 정답 따윈 없으니까 맘대로 칠해 bubble (bubble bubble) Oh I, I know what I like 간단하지 there's no doubt I just pick ‘em out like Mmmmm Eenie meenie Meenie minie Like eenie meenie minie moe Eenie meenie Meenie minie Like eenie meenie minie moe You’re in the past 그럴 시간 없어 난 Ladies we keep it movin’ 후회 없이 걸어가 Cuz I’m feeling at my best I ain’t taking no less Than every kinda flavour of a new sensation I’m taking dives Oh I wanna lose my mind To the rhythm of a new vibration Oh I, I know what I like (I know what I like) 간단하지 there's no doubt (oh) I just pick ‘em out like Mmmmm Eenie meenie Meenie minie Like eenie meenie minie moe Eenie meenie Meenie minie Like eenie meenie minie moe Like eenie meenie minie moe Like eenie meenie minie moe 훅 지나간다 타이밍도 어버버버 할 시간에 찍어 마침표 문제를 놓고 자꾸 답, 답하겠지 또 우린 왜소해도 할 땐 한 건 하지 Mic 로 질러버려도 돼 후회는 No thanks 나는 나인데 Oh R=VD From birth yeah No one else like me 지금 이 기분에 느낌이 적기지 Take it or Die Oh I, I know what I like Every step I take, no doubt I just pick 'em out like Mmmmm Watch me pick ‘em out like like eenie meenie 이리저리 골라 대지 like meenie minie Better know what you like I’ll make it easy Like eenie meenie minie moe (meenie minie moe) Watch me pick ‘em out like like eenie meenie 이리저리 골라 대지 like meenie minie Better know what you like I’ll make it easy Like eenie meenie minie moe Like eenie meenie minie moe"
64,65,37322772,Hurt Me Less (환상통),더보이즈 (THE BOYZ),THE BOYZ 2ND ALBUM [PHANTASY] Pt.3 Love Letter,"7,808","Break my heart You give me the feeling This pain that you make me believe it You're the one who show me the meaning The meaning Pain 날 찌르던 그 감각 Again 그 쉬운 한 마디로 넌 Break me And you leave me 망가져 가 Every day 내 머리 위 떠올라 (하나 둘) 지난 우리 찬란한 (흔적들) 마주해 흩어질 듯 짙어진 Feeling 이 Feeling 계절은 이미 On & On 깊이 번진 Memories 고통만이 남아 Hell yeah And I can't live here 이대로 헛된 희망에 뻗은 손 Oh I’m not done, so Pain 알아 지금 이 고통은 Fake 잃어버린 널 외면한 채 앓고 있어 Hurt Me Less Don't love me less, no 베인 덧난 상처 위에 깊게 패인 계속 아파도 안고 싶어 돌아와 줘 Hurt Me Less Don't love me less, no Break my heart You give me the feeling This pain that you make me believe it Yeah 참 이상해 말이 좀 안 되는걸 사라진 심장이 왜 아픈지 (왜) 남아있는 네 온기가 (Why) 덧나게 해 (What) Can’t relax Ha ha no thanks 거울은 전부 치워 막아줘 삶의 Prism 뭐에 홀린 놈처럼 놔둬 Cuz I can’t stop imagine 다시 또 날 마주한 나 Say I don’t want to realize Can we get Can we get better? 널 위해 존재할 Present 더는 없대도 No I won’t ever let go Can we get Can we get better? 잠시 머문 Heaven 새까맣게 진 바람도 파도처럼 날 덮친 걸 버틸 수 있어 Pain 알아 지금 이 고통은 Fake 잃어버린 널 외면한 채 앓고 있어 Hurt Me Less Don't love me less, no 베인 덧난 상처 위에 깊게 패인 계속 아파도 안고 싶어 돌아와 줘 Hurt Me Less Don't love me less, no (Hoo) Say you want me Say you want me What so don't love me less no more okay I’ve been falling I’ve been falling Yeah 날 부신 눈부신 너의 환상 영원히 선명히 내 안에 넌 남아있어 Yeah Wait 사라지지 마 내 곁에 Stay 계속 헤매는 날 봤다면 찾아와 줘 Hurt Me Less Don't love me less, no 매일 꿈도 꾸지 못할 시간에 홀로 남을까 밤을 새워 널 떠올려 Hurt Me Less Don't love me less, no (Hey) Break my heart You give me the feeling This pain that you make me believe it You're the one who show me the meaning The meaning (Hoo) (So please) Hurt Me Less Don't love me less, no"
65,66,37259300,WISH (Korean Ver.),NCT WISH,WISH,"10,838","Oh Hey! Let’s do this Future’s in my hands It’s my wish (All my wish) Hey, We are NCT WISH (NCT WISH NCT WISH) 눈부시도록 파란 오늘 새로운 이야기를 시작해 My love is young and it’s strong (Yeah) 하얀 운동화를 신고 새로운 Rhy, Rhy, Rhy, Rhythm 내 안에 담겨있던 마음들을 펼쳐보내 Get up It’s us It’s too loud 우린 멈추지 않아 Like forever 들어 봐 바라던 바 Elevate it 꿈속의 꿈 넘어 마주한 Madness Keep on, keep on loving babe (Yeah, That’s right) (We’re going up to the world) 저 큰 문을 열어 내 (I feel it’s coming, yeah) 세상의 반짝임도 혼자선 아무런 의미조차 없어 So I make this wish tonight Let’s go Fly high in the air Let’s WISH it up baby (WISH it up, right now) 눈 떠 봐 세계가 변하잖아 Keep it up baby (Keep it up, uh) It’s up and down 바람을 타고 Yeah, We’re another one 'Cause we wanna WISH 너라고 Baby 앞으로만 가 The WISH’s complete Future’s in my hands It’s my wish (All my wish) Hey, We are NCT WISH (NCT WISH NCT WISH) 늘 바라왔던 작은 소원 네가 행복했으면 좋겠어 네 웃음과, 눈물과, 모든 것들이 소중해 이 순간의 심장 소리와 떨림을 난 영원히 기억할래 Keep on, keep on loving babe (Yeah, That’s right) (밤은 길지 않을 테니) 있는 그대로의 널 (사랑하고 있어) 너의 꿈이 내 꿈이 돼 우린 답을 알고 있지 바로 여기 So I make this wish tonight Let’s go Fly high in the air Let’s WISH it up baby (WISH it up, right now) 눈 떠 봐 세계가 변하잖아 Keep it up baby (Keep it up, uh) It’s up and down 바람을 타고 Yeah, We’re another one 'Cause we wanna WISH 너라고 Baby 앞으로만 가 The WISH’s complete Yeah yeah ooh Goin’ up 모든 순간 속에 앞으로만 가 The WISH’s complete Yeah yeah ooh WISH it up, right now Yeah, Just keep it up, uh 앞으로만 가 The WISH’s complete Future’s in my hands It’s my wish (All my wish) Hey, We are NCT WISH (NCT WISH NCT WISH)"
